TerritoryID,TerritoryName,CountryCode,Country,Region,SalesYTD,SalesLastYear,CostYTD,CostLastYear
T01,Northeast,US,United States,North America,850000,720000,320000,290000
T02,Northwest,US,United States,North America,640000,580000,240000,210000
T03,Central,US,United States,North America,920000,810000,350000,310000
T04,Southeast,US,United States,North America,710000,650000,270000,240000
T05,Southwest,US,United States,North America,780000,690000,295000,260000
T06,Canada,CA,Canada,North America,430000,390000,165000,145000
T07,United Kingdom,GB,United Kingdom,Europe,560000,490000,215000,185000
T08,Germany,DE,Germany,Europe,480000,420000,185000,160000
T09,France,FR,France,Europe,410000,370000,158000,138000
T10,Australia,AU,Australia,Pacific,390000,340000,150000,128000
